Id,ActivityDay,Weekday,StepTotal
1503960366,3/12/2016,Saturday,19675
1503960366,3/13/2016,Sunday,17106
1503960366,3/14/2016,Monday,10023
1503960366,3/15/2016,Tuesday,15384
1503960366,3/16/2016,Wednesday,13498
1503960366,3/17/2016,Thursday,14027
1503960366,3/18/2016,Friday,14544
1503960366,3/19/2016,Saturday,15424
1503960366,3/20/2016,Sunday,15128
1503960366,3/21/2016,Monday,10020
1503960366,3/22/2016,Tuesday,15136
1503960366,3/23/2016,Wednesday,13532
1503960366,3/24/2016,Thursday,13188
1503960366,3/25/2016,Friday,11004
1503960366,3/26/2016,Saturday,17609
1503960366,3/27/2016,Sunday,12736
1503960366,3/28/2016,Monday,13231
1503960366,3/29/2016,Tuesday,12041
1503960366,3/30/2016,Wednesday,10970
1503960366,3/31/2016,Thursday,12196
1503960366,4/1/2016,Friday,12208
1503960366,4/2/2016,Saturday,11248
1503960366,4/3/2016,Sunday,10016
1503960366,4/4/2016,Monday,14538
1503960366,4/5/2016,Tuesday,14844
1503960366,4/6/2016,Wednesday,11974
1503960366,4/7/2016,Thursday,10198
1503960366,4/8/2016,Friday,12521
1503960366,4/9/2016,Saturday,12432
1503960366,4/10/2016,Sunday,10057
1503960366,4/11/2016,Monday,10990
1624580081,3/12/2016,Saturday,2095
1624580081,3/13/2016,Sunday,1305
1624580081,3/14/2016,Monday,2553
1624580081,3/15/2016,Tuesday,10003
1624580081,3/16/2016,Wednesday,9914
1624580081,3/17/2016,Thursday,16111
1624580081,3/18/2016,Friday,3196
1624580081,3/19/2016,Saturday,2064
1624580081,3/20/2016,Sunday,4994
1624580081,3/21/2016,Monday,2139
1624580081,3/22/2016,Tuesday,3897
1624580081,3/23/2016,Wednesday,4341
1624580081,3/24/2016,Thursday,1524
1624580081,3/25/2016,Friday,1750
1624580081,3/26/2016,Saturday,815
1624580081,3/27/2016,Sunday,1985
1624580081,3/28/2016,Monday,1905
1624580081,3/29/2016,Tuesday,1544
1624580081,3/30/2016,Wednesday,1675
1624580081,3/31/2016,Thursday,4506
1624580081,4/1/2016,Friday,9191
1624580081,4/2/2016,Saturday,1556
1624580081,4/3/2016,Sunday,2910
1624580081,4/4/2016,Monday,18464
1624580081,4/5/2016,Tuesday,1335
1624580081,4/6/2016,Wednesday,1004
1624580081,4/7/2016,Thursday,1111
1624580081,4/8/2016,Friday,6309
1624580081,4/9/2016,Saturday,3572
1624580081,4/10/2016,Sunday,3910
1624580081,4/11/2016,Monday,10000
1624580081,4/12/2016,Tuesday,8163
1644430081,3/12/2016,Saturday,16702
1644430081,3/13/2016,Sunday,7987
1644430081,3/14/2016,Monday,4091
1644430081,3/15/2016,Tuesday,11719
1644430081,3/16/2016,Wednesday,10778
1644430081,3/17/2016,Thursday,4245
1644430081,3/18/2016,Friday,1945
1644430081,3/19/2016,Saturday,1698
1644430081,3/20/2016,Sunday,5633
1644430081,3/21/2016,Monday,4101
1644430081,3/22/2016,Tuesday,13788
1644430081,3/23/2016,Wednesday,7265
1644430081,3/24/2016,Thursday,4816
1644430081,3/25/2016,Friday,2951
1644430081,3/26/2016,Saturday,2547
1644430081,3/27/2016,Sunday,5204
1644430081,3/28/2016,Monday,7282
1644430081,3/29/2016,Tuesday,10216
1644430081,3/30/2016,Wednesday,8086
1644430081,3/31/2016,Thursday,10554
1644430081,4/1/2016,Friday,4636
1644430081,4/2/2016,Saturday,20237
1644430081,4/3/2016,Sunday,12912
1644430081,4/4/2016,Monday,2819
1644430081,4/5/2016,Tuesday,9921
1644430081,4/6/2016,Wednesday,8046
1644430081,4/7/2016,Thursday,11166
1644430081,4/8/2016,Friday,7842
1644430081,4/9/2016,Saturday,13840
1644430081,4/10/2016,Sunday,1329
1844505072,3/12/2016,Saturday,0
1844505072,3/13/2016,Sunday,0
1844505072,3/14/2016,Monday,0
1844505072,3/15/2016,Tuesday,0
1844505072,3/16/2016,Wednesday,0
1844505072,3/17/2016,Thursday,0
1844505072,3/18/2016,Friday,0
1844505072,3/19/2016,Saturday,0
1844505072,3/20/2016,Sunday,0
1844505072,3/21/2016,Monday,0
1844505072,3/22/2016,Tuesday,0
1844505072,3/23/2016,Wednesday,0
1844505072,3/24/2016,Thursday,0
1844505072,3/25/2016,Friday,0
1844505072,3/26/2016,Saturday,0
1844505072,3/27/2016,Sunday,0
1844505072,3/28/2016,Monday,0
1844505072,3/29/2016,Tuesday,0
1844505072,3/30/2016,Wednesday,2523
1844505072,3/31/2016,Thursday,6072
1844505072,4/1/2016,Friday,6847
1844505072,4/2/2016,Saturday,5367
1844505072,4/3/2016,Sunday,2841
1844505072,4/4/2016,Monday,0
1844505072,4/5/2016,Tuesday,0
1844505072,4/6/2016,Wednesday,7
1844505072,4/7/2016,Thursday,6344
1844505072,4/8/2016,Friday,5316
1844505072,4/9/2016,Saturday,4979
1844505072,4/10/2016,Sunday,6550
1844505072,4/11/2016,Monday,5430
1844505072,4/12/2016,Tuesday,6697
1927972279,3/12/2016,Saturday,4252
1927972279,3/13/2016,Sunday,3652
1927972279,3/14/2016,Monday,222
1927972279,3/15/2016,Tuesday,5501
1927972279,3/16/2016,Wednesday,8747
1927972279,3/17/2016,Thursday,14085
1927972279,3/18/2016,Friday,18267
1927972279,3/19/2016,Saturday,1350
1927972279,3/20/2016,Sunday,3189
1927972279,3/21/2016,Monday,917
1927972279,3/22/2016,Tuesday,7058
1927972279,3/23/2016,Wednesday,4008
1927972279,3/24/2016,Thursday,709
1927972279,3/25/2016,Friday,4212
1927972279,3/26/2016,Saturday,2595
1927972279,3/27/2016,Sunday,18579
