Id,SleepDay,Weekday,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,3/13/2016,Sunday,1,411,426
1503960366,3/14/2016,Monday,1,354,386
1503960366,3/15/2016,Tuesday,1,312,335
1503960366,3/16/2016,Wednesday,1,333,366
1503960366,3/17/2016,Thursday,1,402,437
1503960366,3/18/2016,Friday,1,379,411
1503960366,3/19/2016,Saturday,1,447,468
1503960366,3/20/2016,Sunday,1,469,476
1503960366,3/21/2016,Monday,1,390,427
1503960366,3/23/2016,Wednesday,1,281,297
1503960366,3/24/2016,Thursday,1,303,344
1503960366,3/25/2016,Friday,1,351,386
1503960366,3/26/2016,Saturday,1,437,472
1503960366,3/27/2016,Sunday,1,483,506
1503960366,3/28/2016,Monday,1,73,77
1503960366,3/29/2016,Tuesday,1,349,378
1503960366,3/31/2016,Thursday,1,308,336
1503960366,4/1/2016,Friday,1,283,306
1503960366,4/2/2016,Saturday,1,439,509
1503960366,4/3/2016,Sunday,1,379,426
1503960366,4/4/2016,Monday,1,294,337
1503960366,4/5/2016,Tuesday,1,280,309
1503960366,4/9/2016,Saturday,1,380,407
1503960366,4/10/2016,Sunday,1,455,478
1503960366,4/11/2016,Monday,1,310,329
1503960366,4/12/2016,Tuesday,1,327,346
1503960366,4/13/2016,Wednesday,2,384,407
1503960366,4/15/2016,Friday,1,412,442
1503960366,4/16/2016,Saturday,2,340,367
1503960366,4/17/2016,Sunday,1,700,712
1503960366,4/19/2016,Tuesday,1,304,320
1503960366,4/20/2016,Wednesday,1,360,377
1503960366,4/21/2016,Thursday,1,325,364
1503960366,4/23/2016,Saturday,1,361,384
1503960366,4/24/2016,Sunday,1,430,449
1503960366,4/25/2016,Monday,1,277,323
1503960366,4/26/2016,Tuesday,1,245,274
1503960366,4/28/2016,Thursday,1,366,393
1503960366,4/29/2016,Friday,1,341,354
1503960366,4/30/2016,Saturday,1,404,425
1503960366,5/1/2016,Sunday,1,369,396
1503960366,5/2/2016,Monday,1,277,309
1503960366,5/3/2016,Tuesday,1,273,296
1503960366,5/5/2016,Thursday,1,247,264
1503960366,5/6/2016,Friday,1,334,367
1503960366,5/7/2016,Saturday,1,331,349
1503960366,5/8/2016,Sunday,1,594,611
1503960366,5/9/2016,Monday,1,338,342
1503960366,5/10/2016,Tuesday,1,383,403
1503960366,5/11/2016,Wednesday,1,285,306
1644430081,3/27/2016,Sunday,1,373,495
1644430081,3/28/2016,Monday,1,466,466
1644430081,3/29/2016,Tuesday,1,56,121
1644430081,3/30/2016,Wednesday,1,538,840
1644430081,4/29/2016,Friday,1,119,127
